time_s,object_resistance_R
714.033,16096.94
715.114,16163.68
716.211,16163.68
717.292,16096.94
718.373,16030.53
719.454,16030.53
720.535,16096.94
721.616,16030.53
722.697,16030.53
723.778,16030.53
724.859,16030.53
725.94,16096.94
727.021,16030.53
728.102,16030.53
729.183,15964.47
730.264,16030.53
731.345,16030.53
732.426,16163.68
733.507,16030.53
734.588,16096.94
735.669,16096.94
736.75,16163.68
737.831,16096.94
738.912,16096.94
739.993,16030.53
741.074,16030.53
742.155,16030.53
743.236,16096.94
744.317,16163.68
745.398,16096.94
746.494,16030.53
747.575,15964.47
748.656,16096.94
749.737,16030.53
750.818,16030.53
751.899,16096.94
752.98,16096.94
754.061,16096.94
755.142,16163.68
756.222,16030.53
757.302,16030.53
758.382,16096.94
759.462,16163.68
760.542,16096.94
761.622,18104.4
762.702,16096.94
763.782,16163.68
764.862,16163.68
765.942,16230.77
767.022,16298.2
768.102,16163.68
769.182,16163.68
770.262,16298.2
771.342,16298.2
772.422,16230.77
773.502,16230.77
774.582,16230.77
775.662,16298.2
776.742,16298.2
777.838,16230.77
778.918,16298.2
779.998,16365.98
781.078,16230.77
782.158,16298.2
783.238,16163.68
784.318,16230.77
785.398,16298.2
786.478,16298.2
787.558,16365.98
788.638,16365.98
789.718,16434.11
790.798,16365.98
791.878,16365.98
792.958,16365.98
794.038,16298.2
795.118,16365.98
796.198,16298.2
797.278,16230.77
798.358,16298.2
799.438,16298.2
800.518,16365.98
801.598,16230.77
802.678,16230.77
803.758,16096.94
804.839,16096.94
805.92,16030.53
807.001,16030.53
808.097,16096.94
809.179,16030.53
810.267,16096.94
811.348,16163.68
812.429,16030.53
813.51,16096.94
814.591,16030.53
815.672,16163.68
816.753,16163.68
817.834,16096.94
818.918,16030.53
820.001,16096.94
821.083,16030.53
822.166,16030.53
823.249,15964.47
824.331,15575.0
825.413,16163.68
826.495,16230.77
827.578,16230.77
828.661,16298.2
829.743,16298.2
830.825,16298.2
831.907,16298.2
832.989,16298.2
834.071,16365.98
835.153,16298.2
836.235,16298.2
837.317,16230.77
838.415,16163.68
839.497,16230.77
840.579,16230.77
841.662,16230.77
842.745,16163.68
843.828,16163.68
844.91,16096.94
845.993,16096.94
847.076,16096.94
848.159,16096.94
849.241,16096.94
850.323,16030.53
851.406,16096.94
852.489,16096.94
853.571,16096.94
854.653,16030.53
855.736,16096.94
856.818,15964.47
857.9,15964.47
858.982,15964.47
860.064,15964.47
861.146,16030.53
862.229,16030.53
863.312,16030.53
864.395,15964.47
865.478,15964.47
866.56,16030.53
867.643,16030.53
868.725,15964.47
869.822,16096.94
870.905,16030.53
871.987,16030.53
873.07,16096.94
874.152,16030.53
875.234,15964.47
876.316,16096.94
877.398,16096.94
878.481,16163.68
879.563,16096.94
880.646,16096.94
881.728,16096.94
882.811,16030.53
883.893,16096.94
884.976,16163.68
886.059,16096.94
887.141,16163.68
888.224,16163.68
889.306,16163.68
890.388,16096.94
891.47,16096.94
892.552,16096.94
893.635,15703.52
894.717,16096.94
895.799,16096.94
896.881,16096.94
897.963,16096.94
899.045,16096.94
900.143,16163.68
901.225,16096.94
902.307,16096.94
903.39,16030.53
904.473,16096.94
905.556,16096.94
906.639,16030.53
907.722,16030.53
908.805,16096.94
909.887,16096.94
910.969,16030.53
912.051,16030.53
913.134,15964.47
914.216,16030.53
915.298,16030.53
916.38,16096.94
917.463,16030.53
918.545,16030.53
919.628,15964.47
920.71,16030.53
921.793,16030.53
922.876,15964.47
923.959,15964.47
925.041,15964.47
926.123,15964.47
927.206,16030.53
928.289,15898.73
929.372,16030.53
930.456,15964.47
931.553,15833.33
932.636,15898.73
933.719,15833.33
934.801,15833.33
935.884,15964.47
936.966,15833.33
938.048,15898.73
939.131,15964.47
940.214,15833.33
941.296,16298.2
942.378,15964.47
943.46,15964.47
944.542,15898.73
945.626,15898.73
946.715,15964.47
947.798,15833.33
948.881,15321.78
949.964,15898.73
951.047,15964.47
952.129,15964.47
953.211,15898.73
954.293,15898.73
955.376,15833.33
956.459,15833.33
957.541,15833.33
958.624,15898.73
959.706,15898.73
960.789,15833.33
961.887,15833.33
962.97,15833.33
964.053,15833.33
965.136,15833.33
966.219,15833.33
967.302,15833.33
968.385,15768.26
969.468,15768.26
970.55,15833.33
971.633,15833.33
972.715,16030.53
973.798,15898.73
974.881,15768.26
975.963,15833.33
977.045,16434.11
978.127,15768.26
979.21,15833.33
980.293,15768.26
981.376,15833.33
982.459,15898.73
983.542,15703.52
984.625,15768.26
985.708,15768.26
986.791,15768.26
987.874,15833.33
988.956,15703.52
990.038,15639.1
991.12,15703.52
992.203,15703.52
993.3,15639.1
994.383,15703.52
995.466,15703.52
996.549,15703.52
997.632,15703.52
998.715,15703.52
999.798,15639.1
1000.881,15639.1
1001.964,15639.1
1003.047,15703.52
1004.13,15575.0
1005.213,15639.1
1006.296,15575.0
1007.379,15768.26
1008.462,15575.0
1009.545,15768.26
1010.628,15703.52
1011.711,15768.26
1012.794,15768.26
1013.876,15833.33
1014.958,15703.52
1016.04,15639.1
1017.122,15639.1
1018.204,15639.1
1019.285,15703.52
1020.367,15575.0
1021.449,15639.1
1022.546,15511.22
1023.628,15639.1
1024.709,15575.0
1025.79,15639.1
1026.872,15639.1
1027.954,15639.1
1029.036,15703.52
1030.118,15703.52
1031.199,15703.52
1032.28,15639.1
1033.362,15703.52
1034.443,15703.52
1035.524,15639.1
1036.606,15703.52
1037.688,15639.1
1038.769,15639.1
1039.851,15639.1
1040.933,15639.1
1042.015,15639.1
1043.097,15703.52
1044.179,15768.26
1045.261,15575.0
1046.343,15639.1
1047.425,15703.52
1048.507,15639.1
1049.589,15703.52
1050.671,15703.52
1051.767,15768.26
1052.849,15833.33
1053.931,15768.26
1055.012,15768.26
1056.094,15833.33
1057.176,15703.52
1058.258,15768.26
1059.339,15768.26
1060.421,15768.26
1061.503,15768.26
1062.585,15703.52
1063.666,15768.26
1064.748,15703.52
1065.83,15639.1
1066.911,15703.52
1067.993,15703.52
1069.075,15639.1
1070.157,15575.0
1071.239,15639.1
1072.321,15703.52
1073.403,15639.1
1074.485,15575.0
1075.567,15639.1
1076.648,15639.1
1077.73,15703.52
1078.812,15639.1
1079.893,15639.1
1080.99,15511.22
1082.079,15575.0
1083.161,15639.1
1084.243,15575.0
1085.325,15575.0
1086.407,15639.1
1087.489,15511.22
1088.571,15639.1
1089.652,15575.0
1090.734,15575.0
1091.816,15575.0
1092.897,15575.0
1093.979,15511.22
1095.061,15511.22
1096.143,15575.0
1097.225,15639.1
1098.307,15575.0
1099.389,15511.22
1100.471,15639.1
1101.553,15511.22
1102.635,15575.0
1103.717,15511.22
1104.799,15639.1
1105.88,15639.1
1106.962,15639.1
1108.044,15639.1
1109.126,15639.1
1110.222,15639.1
1111.304,15639.1
1112.386,15575.0
1113.468,15511.22
1114.55,15575.0
1115.631,15511.22
1116.712,15575.0
1117.793,15575.0
1118.875,15575.0
1119.956,15575.0
1121.038,15575.0
1122.12,15575.0
1123.201,15575.0
1124.282,15447.76
1125.364,15575.0
1126.446,15575.0
1127.528,15575.0
1128.61,15575.0
1129.692,15575.0
1130.774,15575.0
1131.856,15575.0
1132.938,15575.0
1134.02,15639.1
1135.102,15511.22
1136.184,15575.0
1137.266,15575.0
1138.348,15639.1
1139.445,15639.1
1140.526,15639.1
1141.607,15575.0
1142.689,15639.1
1143.771,15639.1
1144.853,15703.52
1145.934,15703.52
1147.016,15703.52
1148.097,15639.1
1149.179,15639.1
1150.261,15703.52
1151.343,15639.1
1152.424,15703.52
1153.505,15768.26
1154.587,15703.52
1155.668,15639.1
1156.75,15575.0
1157.832,15703.52
1158.913,15703.52
1159.994,15639.1
1161.075,15703.52
1162.157,15639.1
1163.238,15703.52
1164.32,15703.52
1165.401,15703.52
1166.482,15703.52
1167.563,15703.52
1168.659,15703.52
1169.741,15703.52
1170.823,15768.26
1171.905,15703.52
1172.987,15575.0
1174.069,15768.26
1175.151,15768.26
1176.233,15768.26
1177.314,15768.26
1178.396,15703.52
1179.477,15768.26
1180.559,15768.26
1181.64,15703.52
1182.722,15768.26
1183.804,15768.26
1184.885,15768.26
1185.966,15703.52
1187.048,15703.52
1188.13,15703.52
1189.211,15639.1
1190.293,15703.52
1191.374,15575.0
1192.455,15703.52
1193.537,15575.0
1194.619,15639.1
1195.701,15639.1
1196.783,15639.1
1197.88,15575.0
1198.961,15639.1
1200.042,15639.1
1201.123,15575.0
1202.204,15639.1
1203.285,15639.1
1204.366,15575.0
1205.447,15639.1
1206.529,15575.0
1207.61,15511.22
1208.691,15575.0
1209.772,15511.22
1210.853,15575.0
1211.934,15511.22
1213.015,15511.22
1214.096,15575.0
1215.177,15511.22
1216.259,15575.0
1217.34,15575.0
1218.429,15447.76
1219.511,15447.76
1220.593,15447.76
1221.675,15511.22
1222.757,15511.22
1223.839,15511.22
1224.921,15447.76
1226.003,15447.76
1227.099,15384.62
1228.181,15511.22
1229.263,15511.22
1230.345,15384.62
1231.427,15447.76
1232.509,15447.76
1233.591,15447.76
1234.673,15447.76
1235.755,15384.62
1236.837,15511.22
1237.919,15447.76
1239.001,15447.76
1240.082,15447.76
1241.164,15384.62
1242.246,15447.76
1243.328,15447.76
1244.41,15384.62
1245.491,15447.76
1246.573,15384.62
1247.655,15384.62
1248.737,15447.76
1249.819,15384.62
1250.901,15447.76
1251.983,15447.76
1253.065,15447.76
1254.147,15321.78
1255.229,15447.76
1256.326,15384.62
1257.408,15447.76
1258.49,15384.62
1259.572,15384.62
1260.654,15259.26
1261.736,15384.62
1262.818,15447.76
1263.9,15447.76
1264.982,15321.78
1266.063,15384.62
1267.145,15384.62
1268.225,15259.26
1269.305,15321.78
1270.385,15197.05
1271.465,15321.78
1272.545,15259.26
1273.625,15447.76
1274.705,15384.62
1275.785,15259.26
1276.865,15321.78
1277.945,15259.26
1279.025,15259.26
1280.105,15197.05
1281.185,15259.26
1282.265,15259.26
1283.345,15259.26
1284.425,15259.26
1285.52,15259.26
1286.6,15259.26
1287.68,15197.05
1288.76,15259.26
1289.84,15197.05
1290.92,15321.78
1292.0,15259.26
1293.08,15259.26
1294.16,15197.05
1295.24,15197.05
1296.32,15135.14
1297.4,15259.26
1298.48,15259.26
1299.56,15073.53
1300.64,15259.26
1301.72,15197.05
1302.8,15259.26
1303.88,15259.26
1304.96,15197.05
1306.04,15197.05
1307.12,15197.05
1308.2,15259.26
1309.28,15135.14
1310.36,15135.14
1311.44,15197.05
1312.52,15135.14
1313.6,15135.14
1314.668,15135.14
1315.748,15135.14
1316.828,15135.14
1317.908,15135.14
1318.988,15073.53
1320.068,15135.14
1321.148,15135.14
1322.228,15135.14
1323.308,15197.05
1324.388,15073.53
1325.468,15197.05
1326.548,15197.05
1327.628,15135.14
1328.708,15073.53
1329.788,15197.05
1330.868,15135.14
1331.948,15135.14
1333.028,15135.14
1334.108,15135.14
1335.188,15135.14
1336.268,15197.05
1337.348,15135.14
1338.428,15135.14
1339.508,15135.14
1340.588,15073.53
1341.669,15012.23
1342.765,15135.14
1343.845,15135.14
1344.925,15135.14
1346.005,15135.14
1347.085,15135.14
1348.165,15197.05
1349.245,15135.14
1350.325,15135.14
1351.405,15135.14
1352.485,15073.53
1353.565,15135.14
1354.653,15073.53
1355.733,15135.14
1356.813,15135.14
1357.893,15073.53
1358.973,15073.53
1360.054,15073.53
1361.134,15135.14
1362.214,15135.14
1363.294,15073.53
1364.375,15135.14
1365.455,15135.14
1366.535,15135.14
1367.615,15135.14
1368.695,15073.53
1369.775,15073.53
1370.855,15197.05
1371.95,15135.14
1373.03,15135.14
1374.11,15135.14
1375.19,15197.05
1376.27,15197.05
1377.35,15259.26
1378.43,15197.05
1379.51,15197.05
1380.59,15197.05
1381.67,15197.05
1382.75,15197.05
1383.83,15259.26
1384.91,15259.26
1385.99,15321.78
1387.07,15197.05
1388.15,15259.26
1389.23,15197.05
1390.31,15447.76
1391.39,15321.78
1392.47,15321.78
1393.55,15321.78
1394.63,15384.62
1395.71,15259.26
1396.79,15321.78
1397.871,15321.78
1398.951,15321.78
1400.031,15384.62
1401.127,15321.78
1402.207,15197.05
1403.287,15197.05
1404.367,15135.14
1405.447,15259.26
1406.527,15197.05
1407.607,15197.05
1408.687,15197.05
1409.767,15259.26
1410.847,15197.05
1411.927,15197.05
1413.007,15197.05
1414.087,15197.05
1415.167,15259.26
1416.247,15259.26
1417.327,15259.26
1418.407,15321.78
1419.487,15259.26
1420.567,15259.26
1421.647,15197.05
1422.727,15259.26
1423.807,15259.26
1424.887,15197.05
1425.967,15259.26
1427.047,15197.05
1428.127,15197.05
1429.207,15259.26
1430.302,15197.05
1431.382,15197.05
1432.462,15197.05
1433.542,15073.53
1434.622,15135.14
1435.702,15259.26
1436.782,15197.05
1437.862,15197.05
1438.942,15197.05
1440.022,15135.14
1441.102,15197.05
1442.182,15135.14
1443.262,15259.26
1444.342,15197.05
1445.422,15197.05
1446.502,15259.26
1447.582,15259.26
1448.662,15197.05
1449.742,15197.05
1450.822,15197.05
1451.903,15259.26
1452.983,15259.26
1454.063,15197.05
1455.143,15197.05
1456.223,15197.05
1457.303,15259.26
1458.383,15259.26
1459.479,15197.05
1460.559,15259.26
1461.639,15321.78
1462.719,15321.78
1463.799,15384.62
1464.879,15321.78
1465.959,15384.62
1467.039,15321.78
1468.119,15259.26
1469.199,15384.62
1470.279,15384.62
1471.359,15384.62
1472.439,15321.78
1473.519,15321.78
1474.599,15259.26
1475.679,15259.26
1476.759,15197.05
1477.839,15384.62
1478.919,15321.78
1479.999,15321.78
1481.079,15321.78
1482.159,15384.62
1483.239,15384.62
1484.319,15384.62
1485.399,15321.78
1486.479,15384.62
1487.559,15321.78
1488.654,15321.78
1489.736,15321.78
1490.823,15321.78
1491.903,15321.78
1492.984,15321.78
1494.065,15321.78
1495.145,15259.26
1496.225,15384.62
1497.305,15321.78
1498.385,15321.78
1499.465,15321.78
1500.546,15259.26
1501.626,15259.26
1502.706,15259.26
1503.786,15321.78
1504.866,15321.78
1505.946,15259.26
1507.026,15259.26
1508.106,15259.26
1509.186,15321.78
1510.266,15259.26
1511.346,15197.05
1512.426,15259.26
1513.506,15259.26
1514.586,15321.78
1515.666,15259.26
1516.746,15259.26
1517.842,15197.05
1518.922,15259.26
1520.003,15259.26
1521.083,15197.05
1522.163,15197.05
1523.243,15259.26
1524.324,15259.26
1525.404,15197.05
1526.484,15197.05
